study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
marble ,10,10,0,2.033333333333333,1.4503721999935806,,,,,,,,,,,,0,10,10,3,,,,,22.233538100030273,,22.221748400013894,22.233538100030273,22.233538100030273,23.68654889985919,2.033333333333333,1.4503721999935806,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
t-shirt,11,11,0,2.0074074074074075,1.2713789001572877,,,,,,,,,,,,0,11,11,7,,,,,23.713655999861658,,23.700249699875712,23.713655999861658,23.713655999861658,24.988280899822712,2.0074074074074075,1.2713789001572877,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
case,12,12,0,1.0888888888888888,2.9450141000561416,,,,,,,,,,,,0,12,12,10,,,,,25.00248539983295,,24.991434399969876,25.00248539983295,25.00248539983295,27.954443600028753,1.0888888888888888,2.9450141000561416,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
cushion,13,13,0,2.3555555555555556,2.11346419993788,,,,,,,,,,,,0,13,13,1,,,,,27.969171699834988,,27.957867299905047,27.969171699834988,27.969171699834988,30.086103999987245,2.3555555555555556,2.11346419993788,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
police,14,14,0,1.8444444444444446,1.7322936998680234,,,,,,,,,,,,0,14,14,12,,,,,30.101699199993163,,30.08894189982675,30.101699199993163,30.101699199993163,31.836167800007388,1.8444444444444446,1.7322936998680234,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,0,0,0,,,ta_l_,table,new,,[],[],[],[],[],[],[],,,,,0,0,0,15,31.8697992998641,,,,,,,,31.84793379995972,31.8697992998641,31.8697992998641,31.8697992998641,0.011790000135079026,41.83862109994516,,[],[],[],[],[],[],[],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,1,1,0,,,_oo_,book,old,book,[np.float64(-0.075)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.889309300109744],['text_3'],,,,,0,1,1,13,41.8554624998942,,,,,,,,41.84180029993877,41.8554624998942,41.8554624998942,41.8554624998942,0.0056367001961916685,45.73134900000878,book,[np.float64(-0.075)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.889309300109744],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,2,2,0,,,_ru_s_,cruise,old,cruise,[np.float64(0.04259259259259259)],[np.float64(-0.2916666666666667)],[1],[0],[0],[4.313364600064233],['text_3'],,,,,0,2,2,6,45.74578220001422,,,,,,,,45.73426109994762,45.74578220001422,45.74578220001422,45.74578220001422,0.002815500134602189,50.04784050001763,cruise,[np.float64(0.04259259259259259)],[np.float64(-0.2916666666666667)],[1],[0],[0],[4.313364600064233],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,3,3,0,,,k_y_,keys,old,keys,[np.float64(0.058333333333333334)],[np.float64(-0.3111111111111111)],[1],[0],[0],[3.7989870000164956],['text_3'],,,,,0,3,3,8,50.0630661000032,,,,,,,,50.049662499921396,50.0630661000032,50.0630661000032,50.0630661000032,0.0017265998758375645,53.848865599837154,keys,[np.float64(0.058333333333333334)],[np.float64(-0.3111111111111111)],[1],[0],[0],[3.7989870000164956],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,4,4,0,,,_ho_e,phone,old,p,[],[],[],[],[],[],[],,,,,0,4,4,12,53.86234220000915,,,,,,,,53.85100849997252,53.86234220000915,53.86234220000915,53.86234220000915,0.0020558000542223454,63.8473745000083,p,[],[],[],[],[],[],[],63.86354219983332,63.86354219983332,63.86354219983332,9.998107499908656,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,5,5,0,,,p_str_,pastry,old,pastry,[np.float64(0.09074074074074075)],[np.float64(-0.2861111111111111)],[1],[0],[0],[5.5816205001901835],['text_3'],,,,,0,5,5,4,63.86354219983332,,,,,,,,63.85024709999561,63.86354219983332,63.86354219983332,63.86354219983332,0.0013015000149607658,69.4321639998816,pastry,[np.float64(0.09074074074074075)],[np.float64(-0.2861111111111111)],[1],[0],[0],[5.5816205001901835],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,6,6,0,,,v_s_,vase,new,vase,[np.float64(0.07314814814814814)],[np.float64(-0.2972222222222222)],[1],[0],[0],[7.026475300081074],['text_3'],,,,,0,6,6,17,69.44862709986046,,,,,,,,69.43790419981815,69.44862709986046,69.44862709986046,69.44862709986046,0.005638999864459038,76.46462560002692,vase,[np.float64(0.07314814814814814)],[np.float64(-0.2972222222222222)],[1],[0],[0],[7.026475300081074],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,7,7,0,,,p_st_r,poster,old,poster,[np.float64(0.13703703703703704)],[np.float64(-0.28055555555555556)],[1],[0],[0],[7.9131080999504775],['text_3'],,,,,0,7,7,9,76.48236259981059,,,,,,,,76.46868679998443,76.48236259981059,76.48236259981059,76.48236259981059,0.003984600072726607,84.38211889984086,poster,[np.float64(0.13703703703703704)],[np.float64(-0.28055555555555556)],[1],[0],[0],[7.9131080999504775],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,8,8,0,,,p_nc_l,pencil,new,pencil,[np.float64(0.13240740740740742)],[np.float64(-0.32685185185185184)],[1],[0],[0],[7.415312000084668],['text_3'],,,,,0,8,8,16,84.39685449982062,,,,,,,,84.38409559987485,84.39685449982062,84.39685449982062,84.39685449982062,0.0018408000469207764,91.79971259995364,pencil,[np.float64(0.13240740740740742)],[np.float64(-0.32685185185185184)],[1],[0],[0],[7.415312000084668],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,9,9,0,,,c_m_ra,camera,new,camer,[],[],[],[],[],[],[],,,,,0,9,9,19,91.81407209997997,,,,,,,,91.8020057999529,91.81407209997997,91.81407209997997,91.81407209997997,0.0021230001002550125,101.79818779998459,camer,[],[],[],[],[],[],[],101.81371150002815,101.81371150002815,101.81371150002815,9.997998300008476,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,10,10,0,,,_a_bl_,marble,old,,[],[],[],[],[],[],[],,,,,0,10,10,11,101.81371150002815,,,,,,,,101.80041959998198,101.81371150002815,101.81371150002815,101.81371150002815,0.0005412001628428698,111.79785259999335,,[],[],[],[],[],[],[],111.81397749995813,111.81397749995813,111.81397749995813,9.997628499986604,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,11,11,0,,,t_hi_t,tshirt,old,tshirt,[np.float64(0.021296296296296296)],[np.float64(-0.30277777777777776)],[1],[0],[0],[3.565845799865201],['text_3'],,,,,0,11,11,2,111.81397749995813,,,,,,,,111.80042369989678,111.81397749995813,111.81397749995813,111.81397749995813,0.0005504000000655651,115.36657650000416,tshirt,[np.float64(0.021296296296296296)],[np.float64(-0.30277777777777776)],[1],[0],[0],[3.565845799865201],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,12,12,0,,,l_pt_p,laptop,old ,laptop,[np.float64(0.1527777777777778)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.9629544999916106],['text_3'],,,,,0,12,12,0,115.38013399997726,,,,,,,,115.36872939998284,115.38013399997726,115.38013399997726,115.38013399997726,0.002063099993392825,119.3319337000139,laptop,[np.float64(0.1527777777777778)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.9629544999916106],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,13,13,0,,,_o_rd,board,old,board,[np.float64(0.14814814814814814)],[np.float64(-0.2851851851851852)],[1],[0],[0],[5.565677100094035],['text_3'],,,,,0,13,13,10,119.34685619990341,,,,,,,,119.33394169993699,119.34685619990341,119.34685619990341,119.34685619990341,0.001931800041347742,124.89995879982598,board,[np.float64(0.14814814814814814)],[np.float64(-0.2851851851851852)],[1],[0],[0],[5.565677100094035],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,14,14,0,,,c_s_io_,cushion,old,,[],[],[],[],[],[],[],,,,,0,14,14,14,124.914632699918,,,,,,,,124.90328129986301,124.914632699918,124.914632699918,124.914632699918,0.003170900046825409,134.89944349997677,,[],[],[],[],[],[],[],134.9143091000151,134.9143091000151,134.9143091000151,9.99883530009538,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,15,15,0,,,p_li_e,police,old,police,[np.float64(0.07314814814814814)],[np.float64(-0.2972222222222222)],[1],[0],[0],[5.614389199996367],['text_3'],,,,,0,15,15,7,134.9143091000151,,,,,,,,134.90201870002784,134.9143091000151,134.9143091000151,134.9143091000151,0.0019074000883847475,140.51676269993186,police,[np.float64(0.07314814814814814)],[np.float64(-0.2972222222222222)],[1],[0],[0],[5.614389199996367],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,16,16,0,,,bo_t_e,bottle,new,,[],[],[],[],[],[],[],,,,,0,16,16,18,140.53124799998477,,,,,,,,140.51891759992577,140.53124799998477,140.53124799998477,140.53124799998477,0.002037400146946311,150.5161824999377,,[],[],[],[],[],[],[],150.5320017999038,150.5320017999038,150.5320017999038,9.998855900019407,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,17,17,0,,,_o_se,mouse,old,mouse,[np.float64(0.10185185185185185)],[np.float64(-0.3)],[1],[0],[0],[9.081555600045249],['text_3'],,,,,0,17,17,3,150.5320017999038,,,,,,,,150.5182768998202,150.5320017999038,150.5320017999038,150.5320017999038,0.0013954001478850842,159.60018569999374,mouse,[np.float64(0.10185185185185185)],[np.float64(-0.3)],[1],[0],[0],[9.081555600045249],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,18,18,0,,,c_s_,case,old,case,[np.float64(0.10648148148148148)],[np.float64(-0.32037037037037036)],[1],[0],[0],[5.4648458999581635],['text_3'],,,,,0,18,18,5,159.6141279998701,,,,,,,,159.60218299995176,159.6141279998701,159.6141279998701,159.6141279998701,0.0018702999223023653,165.06729399994947,case,[np.float64(0.10648148148148148)],[np.float64(-0.32037037037037036)],[1],[0],[0],[5.4648458999581635],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
,19,19,0,,,_ha_t,chart,old,chart,[np.float64(0.07037037037037037)],[np.float64(-0.3175925925925926)],[1],[0],[0],[7.346934499917552],['text_3'],,,,,0,19,19,1,165.08165899990126,,,,,,,,165.06923189992085,165.08165899990126,165.08165899990126,165.08165899990126,0.0018439001869410276,172.41644099983387,chart,[np.float64(0.07037037037037037)],[np.float64(-0.3175925925925926)],[1],[0],[0],[7.346934499917552],['text_3'],,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
